,species,trophic,family,order,total_ab,total_ab_SS1,total_ab_SS2,total_ab_SS3
1,B_Callibaetis,herbivore.detritivore,Baetidae,Ephemeroptera,14,3,5,6
2,C_Caenis,herbivore.detritivore,Caenidae,Ephemeroptera,155,19,105,31
3,Ceratopogonidae,herbivore.detritivore,Ceratopogonidae,Diptera,6,2,3,1
4,C_Chaoborus,herbivore.detritivore,Chaoboridae,Diptera,68,0,4,64
5,C_Apedilum,herbivore.detritivore,Chironomidae,Diptera,4,0,4,0
6,C_Asheum,herbivore.detritivore,Chironomidae,Diptera,399,3,36,360
7,C_Beardius,herbivore.detritivore,Chironomidae,Diptera,3,0,1,2
8,C_Caladomyia,herbivore.detritivore,Chironomidae,Diptera,38,0,38,0
9,C_Chironomus,herbivore.detritivore,Chironomidae,Diptera,534,24,340,170
10,C_Goeldchironomus,herbivore.detritivore,Chironomidae,Diptera,1455,299,619,537
11,C_Parachironomus,herbivore.detritivore,Chironomidae,Diptera,3,0,2,1
12,C_Polypedilum,herbivore.detritivore,Chironomidae,Diptera,1436,20,875,541
13,C_Tanytarsini,herbivore.detritivore,Chironomidae,Diptera,7214,10,925,6279
14,C_T_Ablabesmyia,herbivore.detritivore,Chironomidae,Diptera,363,1,64,298
15,C_T_Labrundinia,herbivore.detritivore,Chironomidae,Diptera,9,0,2,7
16,C_T_Larsia,herbivore.detritivore,Chironomidae,Diptera,100,0,27,73
17,C_Oxyagrion,predator,Coenagrionidae,Odonata,5,0,1,4
18,C_Tenagobia,herbivore.detritivore,Corixidae,Hemiptera,3,0,3,0
19,C_Heterocorixa,herbivore.detritivore,Corixidae,Hemiptera,1,0,0,1
20,C_Culex,herbivore.detritivore,Culicidae,Diptera,707,276,340,91
21,D_Rhantus,predator,Dytiscidae,Coleoptera,14,2,7,5
22,D_Hydaticus,predator,Dytiscidae,Coleoptera,1,0,1,0
23,D_Thermonectus,predator,Dytiscidae,Coleoptera,3,1,0,2
24,D_Derovatellus,predator,Dytiscidae,Coleoptera,2,0,2,0
25,G_Rheumatobates,predator,Gerridae,Hemiptera,1,0,1,0
26,H_Berosus,predator,Hydrophilidae,Coleoptera,4,1,0,3
27,H_Tropisternus,predator,Hydrophilidae,Coleoptera,2,2,0,0
28,L_Erythrodiplax,predator,Libellulidae,Odonata,465,0,95,370
29,L_Orthemis,predator,Libellulidae,Odonata,87,0,39,48
30,L_Pantala,predator,Libellulidae,Odonata,349,78,112,159
31,N_Ctenipocoris,predator,Naucoridae,Hemiptera,1,0,0,1
32,N_Hydrocanthus,predator,Noteridae,Coleoptera,1,0,0,1
33,N_Buenoa,predator,Notonectidae,Hemiptera,139,3,61,75
34,N_Notonecta,predator,Notonectidae,Hemiptera,6,1,4,1
35,P_Campsurus,herbivore.detritivore,Polymitarcyidae,Ephemeroptera,10,0,6,4
36,V_Microvelia,predator,Veliidae,Hemiptera,1097,134,489,474
